Designator,Mid X,Mid Y,Rotation,Layer
C1,49.1,-47.8,270.0,top
C10,58.600001,-81.000001,180.0,top
C11,66.200001,-64.800001,90.0,top
C12,68.600001,-64.800001,90.0,top
C13,71.000001,-64.800001,90.0,top
C14,73.400001,-64.800001,90.0,top
C15,73.400001,-69.600001,270.0,top
C16,71.000001,-69.600001,270.0,top
C17,68.600001,-69.600001,270.0,top
C18,66.200001,-69.600001,270.0,top
C19,46.600001,-64.800001,90.0,top
C2,66.200001,-80.000001,270.0,top
C20,44.200001,-64.800001,90.0,top
C21,41.800001,-64.800001,90.0,top
C22,39.400001,-64.800001,90.0,top
C23,46.600001,-69.600001,270.0,top
C24,41.800001,-69.600001,270.0,top
C25,39.400001,-69.600001,270.0,top
C26,46.600001,-75.200001,90.0,top
C27,53.400001,-81.000001,0.0,top
C28,44.200001,-69.600001,270.0,top
C29,46.600001,-80.000001,270.0,top
C3,68.600001,-80.000001,270.0,top
C30,44.200001,-80.000001,270.0,top
C31,41.800001,-80.000001,270.0,top
C32,39.400001,-80.000001,270.0,top
C33,39.400001,-75.200001,90.0,top
C34,41.800001,-75.200001,90.0,top
C35,44.200001,-75.200001,90.0,top
C4,71.000001,-80.000001,270.0,top
C5,73.400001,-80.000001,270.0,top
C6,73.400001,-75.200001,90.0,top
C7,71.000001,-75.200001,90.0,top
C8,68.600001,-75.200001,90.0,top
C9,66.200001,-75.200001,90.0,top
D1,60.500001,-51.500001,90.0,top
L1,56.000001,-69.0,180.0,top
R1,52.3,-47.8,270.0,top
R10,60.000001,-77.600001,0.0,top
R13,52.0,-77.6,180.0,top
R2,55.500001,-50.900001,270.0,top
R3,53.900001,-50.900001,270.0,top
R4,52.300001,-50.900001,270.0,top
R5,50.7,-47.8,270.0,top
R6,55.5,-47.8,90.0,top
R7,53.9,-47.8,90.0,top
R8,50.7,-50.9,90.0,top
R9,47.5,-54.2,270.0,top
U1,52.500001,-56.500001,270.0,top
